"edad";"tiene_telefono_fijo";"pago_telefono_fijo";"tiene_compu_laptop_o_tablet";"frecuencia_compu_laptop_o_tablet_dias_semana";"uso_equipo_1";"uso_equipo_2";"uso_equipo_3";"uso_equipo_4";"uso_equipo_5";"tiene_televisor";"mira_en_tv_1";"mira_en_tv_2";"mira_en_tv_3";"mira_en_tv_4";"tiene_tv_cable";"tiene_tv_satelital";"tiene_radio";"tipo_internet";"uso_conexion_internet_1";"uso_conexion_internet_2";"uso_conexion_internet_3";"uso_conexion_internet_4";"uso_conexion_internet_5";"uso_conexion_internet_6";"tiene_celular";"uso_celular_1";"uso_celular_2";"uso_celular_3";"uso_celular_4";"uso_celular_5";"uso_celular_6";"uso_celular_7";"plan_celular_pre_post";"empresa_plan_celular";"sistema_operativo_celular";"internet_en_celular";"uso_internet_celular_1";"uso_internet_celular_2";"uso_internet_celular_3";"uso_internet_celular_4";"uso_internet_celular_5";"uso_internet_celular_6";"uso_internet_celular_7";"uso_internet_celular_8";"uso_internet_celular_9";"dias_semana_uso_internet_prom";"info_buscada_inter_1";"info_buscada_inter_2";"info_buscada_inter_3";"info_buscada_inter_4";"info_buscada_inter_5";"info_buscada_inter_6";"info_buscada_inter_7";"info_buscada_inter_8";"paso_curso_internet";"prefiere_pasar_curso_internet";"trabaja";"trabajo_rel_tecnologia";"compro_por_internet";"vendio_oferto_por_internet";"consulto_movim_banco";"transferencia_cuentas_bancarias";"pago_por_cuenta_banco";"usa_red_social_1";"usa_red_social_2";"usa_red_social_3";"usa_red_social_4";"usa_red_social_5";"usa_red_social_6";"usa_red_social_7";"usa_red_social_8";"usar_red_social_para_1";"usar_red_social_para_2";"usar_red_social_para_3";"usar_red_social_para_4";"promedio_dias_semana_usa_red_socia";"apoyo_causa_social_politica_red_social";"confia_info_redes_sociales";"redes_sociales_influyen_temas_nacionales";"redes_sociales_influyen_temas_personales_familares";"conocio_personas_internet";"pertenece_grupo_comunidad_inter_o_rs";"usa_inter_activ_politicas";"realizo_llamada_por_internet";"usa_correo_electronico";"edad_primera_computadora";"edad_primera_internet";"sexo";"nivel_instruccion";"estado_civil";"idioma_aprendio_hablar";"categoria_ocupacional";"nivel_instruccion_jefe_hogar";"trabajo_jefe_hogar";"ingreso_mensual_prom_hogar";"agua_potable_vivienda";"alcantarillado";"energia_electrica";"lavadora";"microondas";"calefon_o_ducha";"tarjeta_credito";"casa_propia";"cantidad_banios";"automovil_particular_2012";"viaje_fuera_america_latina_familia";"nro_personas_con_quien_vive";"departamento";"tipo_localidad";"localidad"
18.0;"NO";0.0;"SI";2.0;"Conectarse a internet";"Estudio";"Otro";"Otro";"Otro";"SI";"Noticias";"Salud y educacion";"Otro";"Otro";"SI";"NO";"SI";"Internet Fijo";"Buscar informacion";"Trabajo";"Descargar archivos";"Otro";"Otro";"Otro";"SI";"Llamadas telefonias";"Mensajes de texto SMS";"Escuchar musica";"Conectarse a internet";"Otro";"Otro";"Otro";"PREPAGO";"TIGO";"ANDROID";"SI";"Contactar amigos o familiares";"Buscar informacion";"Trabajo";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";4.0;"Noticias";"Educativa";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Facebook";"Whatsapp";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"Conectarse con amigos/familiares";"Conocer gente";"Otro";"Otro";3.0;"NO";"Poco";"NO";"NO";"NO";"NO";"NO";"SI";"SI";12.0;12.0;"HOMBRE";"Secundaria completa";1.0;1.0;6.0;2.0;2.0;"3.501-5.000 Bs.";"SI";"SI";"SI";"NO";"NO";"SI";"NO";"SI";2.0;"NO";"NO";5.0;1.0;"Ciudad capital";"La Paz"
21.0;"SI";200.0;"SI";0.0;"Herramientas de trabajo";"Escuchar musica o videos";"Otro";"Otro";"Otro";"SI";"Noticias";"Entretenimiento";"Otro";"Otro";"SI";"SI";"SI";"Internet Fijo";"Descargar archivos";"Redes sociales";"Otro";"Otro";"Otro";"Otro";"SI";"Llamadas telefonias";"Conectarse a internet";"Escuchar musica";"Otro";"Otro";"Otro";"Otro";"PREPAGO";"TIGO";"ANDROID";"SI";"Redes sociales";"Contactar amigos o familiares";"Buscar informacion";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";7.0;"Entretenimiento o farandula";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Facebook";"Whatsapp";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"Conectarse con amigos/familiares";"Informarse de otras noticias";"Otro";"Otro";7.0;"NO";"Poco";"NO";"NO";"NO";"NO";"NO";"SI";"NO";9.0;14.0;"HOMBRE";"Secundaria completa";1.0;1.0;3.0;3.0;4.0;"3.501-5.000 Bs.";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"SI";4.0;"NO";"NO";7.0;1.0;"Ciudad capital";"La Paz"
54.0;"NO";0.0;"NO";0.0;"Conectarse a internet";"Otro";"Otro";"Otro";"Otro";"SI";"Noticias";"Otro";"Otro";"Otro";"NO";"NO";"SI";"Ninguno";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"SI";"Llamadas telefonias";"Mensajes de texto SMS";"Conectarse a internet";"Conectarse a internet";"Otro";"Otro";"Otro";"PREPAGO";"ENTEL";"ANDROID";"SI";"Contactar amigos o familiares";"Buscar informacion";"Trabajo";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";5.0;"Noticias";"Oportunidades laborales";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"NO";"NO";"SI";"SI";"SI";"NO";"SI";"NO";"SI";"Facebook";"Twitter";"Whatsapp";"Otro";"Otro";"Otro";"Otro";"Otro";"Conectarse con amigos/familiares";"Informarse sobre temas politicos";"Otro";"Otro";5.0;"NO";"Masomenos";"NO";"SI";"SI";"NO";"NO";"SI";"NO";99.0;52.0;"HOMBRE";"Secundaria completa";2.0;1.0;3.0;3.0;1.0;"1.401-3.500 Bs.";"SI";"SI";"SI";"NO";"NO";"NO";"SI";"SI";2.0;"NO";"NO";4.0;1.0;"Ciudad capital";"La Paz"
30.0;"NO";0.0;"SI";3.0;"Estudio";"Otro";"Otro";"Otro";"Otro";"SI";"Noticias";"Otro";"Otro";"Otro";"NO";"NO";"SI";"Ninguno";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"SI";"Llamadas telefonias";"Mensajes de texto SMS";"Escuchar musica";"Ver videos";"Juegos";"Conectarse a internet";"Otro";"PREPAGO";"TIGO";"ANDROID";"SI";"Contactar amigos o familiares";"Buscar informacion";"Compras en internet";"Fines academicos";"Trabajo";"Ver noticias";"Descargar archivos";"Jugar";"Escuchar musica o ver videos";7.0;"Ciencia y tecnologia";"Entretenimiento o farandula";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"NO";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"NO";"Facebook";"Twitter";"Whatsapp";"Otro";"Otro";"Otro";"Otro";"Otro";"Conectarse con amigos/familiares";"Informarse de otras noticias";"Ver videos/fotos";"Otro";7.0;"NO";"Masomenos";"NO";"NO";"NO";"SI";"NO";"SI";"SI";22.0;22.0;"MUJER";"Universidad completa";1.0;1.0;1.0;2.0;1.0;"1.401-3.500 Bs.";"SI";"SI";"SI";"NO";"NO";"SI";"NO";"SI";1.0;"NO";"NO";4.0;1.0;"Ciudad capital";"La Paz"
16.0;"NO";0.0;"NO";0.0;"Estudio";"Otro";"Otro";"Otro";"Otro";"SI";"Entretenimiento";"Deportes";"Otro";"Otro";"NO";"SI";"SI";"Ninguno";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"NO";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"AMBOS";"COMTECO";"Otro";"NO";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";4.0;"Educativa";"Politica";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Facebook";"Youtube";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"Conectarse con amigos/familiares";"Informarse de otras noticias";"Otro";"Otro";4.0;"NO";"Masomenos";"NO";"SI";"NO";"NO";"NO";"NO";"NO";12.0;12.0;"MUJER";"Secundaria incompleta";1.0;1.0;6.0;2.0;1.0;"3.501-5.000 Bs.";"SI";"SI";"SI";"NO";"NO";"SI";"NO";"SI";2.0;"NO";"NO";4.0;1.0;"Ciudad capital";"La Paz"
50.0;"NO";0.0;"SI";1.0;"Herramientas de trabajo";"Otro";"Otro";"Otro";"Otro";"SI";"Noticias";"Deportes";"Salud y educacion";"Entretenimiento";"SI";"SI";"SI";"Ninguno";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"SI";"Llamadas telefonias";"Mensajes de texto SMS";"Escuchar musica";"Ver videos";"Conectarse a internet";"Sacar fotos";"Otro";"PREPAGO";"ENTEL";"ANDROID";"SI";"Contactar amigos o familiares";"Fines academicos";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";5.0;"Ciencia y tecnologia";"Servicios de salud";"Noticias";"Entretenimiento o farandula";"Otro";"Otro";"Otro";"Otro";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"Facebook";"Twitter";"Whatsapp";"Instagram";"Otro";"Otro";"Otro";"Otro";"Conectarse con amigos/familiares";"Informarse sobre temas politicos";"Otro";"Otro";2.0;"NO";"Masomenos";"NO";"NO";"NO";"SI";"NO";"SI";"SI";17.0;17.0;"MUJER";"Universidad incompleta";1.0;1.0;5.0;2.0;2.0;"1.401-3.500 Bs.";"SI";"SI";"SI";"NO";"NO";"SI";"NO";"SI";1.0;"NO";"NO";4.0;1.0;"Ciudad capital";"La Paz"
40.0;"NO";0.0;"NO";0.0;"Otro";"Otro";"Otro";"Otro";"Otro";"SI";"Noticias";"Salud y educacion";"Otro";"Otro";"NO";"NO";"SI";"Ninguno";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"SI";"Llamadas telefonias";"Conectarse a internet";"Otro";"Otro";"Otro";"Otro";"Otro";"PREPAGO";"ENTEL";"ANDROID";"SI";"Compras en internet";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";7.0;"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"NO";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"NO";"Whatsapp";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"Conectarse con amigos/familiares";"Conocer gente";"Otro";"Otro";3.0;"NO";"Poco";"NO";"NO";"NO";"NO";"NO";"NO";"NO";22.0;30.0;"MUJER";"Universidad incompleta";2.0;1.0;2.0;7.0;2.0;"1.401-3.500 Bs.";"SI";"SI";"SI";"SI";"SI";"SI";"NO";"NO";1.0;"NO";"NO";4.0;1.0;"Ciudad capital";"La Paz"
20.0;"NO";0.0;"NO";7.0;"Conectarse a internet";"Otro";"Otro";"Otro";"Otro";"SI";"Noticias";"Entretenimiento";"Otro";"Otro";"NO";"NO";"SI";"Ninguno";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"SI";"Llamadas telefonias";"Mensajes de texto SMS";"Conectarse a internet";"Otro";"Otro";"Otro";"Otro";"PREPAGO";"TIGO";"ANDROID";"SI";"Contactar amigos o familiares";"Buscar informacion";"Redes sociales";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";7.0;"Oferta de bienes y servicios";"Entretenimiento o farandula";"Educativa";"Otro";"Otro";"Otro";"Otro";"Otro";"SI";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Facebook";"Whatsapp";"Youtube";"Otro";"Otro";"Otro";"Otro";"Otro";"Conectarse con amigos/familiares";"Conocer gente";"Otro";"Otro";3.0;"NO";"Masomenos";"NO";"NO";"SI";"NO";"NO";"SI";"SI";10.0;10.0;"MUJER";"Secundaria completa";2.0;1.0;3.0;4.0;1.0;"1.401-3.500 Bs.";"SI";"SI";"SI";"NO";"NO";"SI";"NO";"NO";1.0;"NO";"NO";3.0;1.0;"Ciudad capital";"La Paz"
32.0;"NO";0.0;"NO";0.0;"Otro";"Otro";"Otro";"Otro";"Otro";"SI";"Noticias";"Entretenimiento";"Otro";"Otro";"NO";"NO";"NO";"Ninguno";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"SI";"Llamadas telefonias";"Mensajes de texto SMS";"Conectarse a internet";"Otro";"Otro";"Otro";"Otro";"PREPAGO";"ENTEL";"ANDROID";"SI";"Contactar amigos o familiares";"Trabajo";"Ver noticias";"Redes sociales";"Otro";"Otro";"Otro";"Otro";"Otro";7.0;"Oferta de bienes y servicios";"Oportunidades laborales";"Entretenimiento o farandula";"Educativa";"Otro";"Otro";"Otro";"Otro";"NO";"SI";"SI";"NO";"NO";"NO";"SI";"NO";"NO";"Facebook";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"Conectarse con amigos/familiares";"Conocer gente";"Informarse de otras noticias";"Otro";7.0;"NO";"Poco";"NO";"NO";"NO";"NO";"NO";"NO";"NO";20.0;25.0;"HOMBRE";"Tecnico";1.0;1.0;1.0;4.0;1.0;"1.401-3.500 Bs.";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";1.0;"NO";"NO";1.0;1.0;"Ciudad capital";"La Paz"
18.0;"SI";-1.0;"SI";7.0;"Escuchar musica o videos";"Juegos";"Conectarse a internet";"Estudio";"Otro";"SI";"Noticias";"Deportes";"Entretenimiento";"Otro";"SI";"NO";"SI";"Ninguno";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"SI";"Llamadas telefonias";"Mensajes de texto SMS";"Escuchar musica";"Ver videos";"Juegos";"Conectarse a internet";"Otro";"PREPAGO";"TIGO";"IOS";"SI";"Contactar amigos o familiares";"Descargar archivos";"Jugar";"Escuchar musica o ver videos";"Redes sociales";"Correo electronico";"Otro";"Otro";"Otro";7.0;"Entretenimiento o farandula";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"Otro";"NO";"SI";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"Facebook";"Whatsapp";"Instagram";"Otro";"Otro";"Otro";"Otro";"Otro";"Conectarse con amigos/familiares";"Compartir contenidos (noticias, memes, links, mensajes)";"Ver videos/fotos";"Otro";7.0;"NO";"No";"NO";"NO";"SI";"SI";"NO";"SI";"SI";5.0;9.0;"HOMBRE";"Secundaria completa";1.0;1.0;6.0;7.0;1.0;"5.001-7.000 Bs.";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"SI";2.0;"NO";"NO";6.0;1.0;"Ciudad capital";"La Paz"
